"dpe.now","dpe.next","dpe.not"
"Angus (2017)","North Ayrshire","Aberdeenshire"
"Argyll and Bute (2014)",NA,"Clackmannanshire"
"Dundee City (2004)",NA,"Dumfries and Galloway"
"East Ayrshire (2012)",NA,"Eilean Siar"
"East Dunbartonshire (2014)",NA,"Moray"
"East Lothian (2017)",NA,"Orkney Islands"
"East Renfrewshire (2013)",NA,"Scottish Borders"
"Edinburgh City (1998)",NA,"Shetland Islands"
"Falkirk (2018)",NA,"West Dunbartonshire"
"Fife (2013)",NA,"West Lothian"
"Glasgow City (1999)",NA,NA
"Highland (2016)",NA,NA
"Inverclyde (2014)",NA,NA
"Midlothian (2018)",NA,NA
"North Lanarkshire (2017)",NA,NA
"Perth and Kinross (2002)",NA,NA
"Renfrewshire (2010)",NA,NA
"South Ayrshire (2012)",NA,NA
"South Lanarkshire (2005)",NA,NA
"Stirling (2017)",NA,NA
"Aberdeen City (2003)",NA,NA
