"collapsed","variable","2012","2013","2014","2015","2016","2016 budget","2017 budget","change"
"On-street","Fees \& permits",417.546,431.537,471.596,423.712050157196,500.615723837664,NA,NA,18.1499850315649
"On-street","Penalties",352.843,343.213,328.459,397.153429900623,388.233449164702,NA,NA,-2.24597852224341
"On-street","Total Income",770.389,774.75,800.055,820.865480057819,888.849173002367,NA,NA,8.28195296259253
"On-street","Expenditure",453.597,408.139,420.598,406.572296211862,413.593828075708,NA,NA,1.72700696266503
"On-street","Surplus",316.792,366.611,379.457,414.293183845957,475.255344926659,NA,NA,14.7147390924416
"Off-street","Total Income",616.518,632.723,641.33,671.48198420515,685.932252265701,NA,NA,2.15199639014234
"Off-street","Expenditure",345.941,340.439,334.623,336.078790105502,341.36806455977,NA,NA,1.57381977381186
"Off-street","Surplus",270.577,292.284,306.707,335.403194099648,344.564187705932,NA,NA,2.73133761617139
"All parking","Total Income",1386.907,1407.473,1441.385,1492.34746426297,1574.78142526807,NA,NA,5.52377800606991
"All parking","Expenditure",799.538,748.578,755.221,742.651086317365,754.961892635477,NA,NA,1.65768374205961
"All parking","Surplus",587.369,658.895,686.164,749.696377945605,819.81953263259,748.676,790.830315144487,9.35354054652679
"All England transport","Net Expenditure",4823.256,4795.258,4537.381,4330.74610201772,4012.82509003497,4401.105,4239.57842865406,-7.34102171989784
"","Parking surplus as percentage of net transport expenditure",12.1778524714425,13.7405536886649,15.122468225613,17.3110212486555,20.4299842190592,17.0110915326946,18.6535130427001,NA
