"auth.name","2012","2013","2014","2015","2016","change","change.4"
"Edinburgh City",23684,24736,25894,27712,30234,9.10075057736721,6.29433985687935
"Glasgow City",17437,17868,18025,19530,20203,3.44598054275473,3.74950278982587
"Dundee City",3383,3605,3876,4485,3751,-16.3656633221851,2.61509855480935
"Fife",2647,2971,3302,2958,3467,17.2075726842461,6.97935499272253
"Perth and Kinross",3012,3019,2916,2856,2905,1.7156862745098,-0.900196738703457
"South Lanarkshire",2141,2161,2281,2462,2352,-4.46791226645004,2.3776514364811
"Highland",1218,1243,1353,1519,1815,19.486504279131,10.4860214891824
"East Ayrshire",1150,1242,1493,1528,1790,17.1465968586388,11.6963027110261
"Stirling",2188,2223,2019,1671,1620,-3.05206463195691,-7.238679109354
"South Ayrshire",612,826,775,0,1187,NA,18.0116341400108
"Argyll and Bute",719,711,1005,1089,1089,0,10.9365734118614
"Renfrewshire",1024,1063,1063,1066,1052,-1.31332082551595,0.676693989432238
"Moray",681,655,670,681,690,1.32158590308371,0.328771558073043
"Aberdeenshire",674,697,635,416,488,17.3076923076923,-7.75560615710039
"Falkirk",456,454,419,223,462,107.174887892377,0.327336619228774
"Inverclyde",0,0,157,328,385,17.3780487804878,NA
"East Renfrewshire",86,186,211,211,216,2.36966824644549,25.8893018245046
"North Ayrshire",131,178,193,165,195,18.1818181818182,10.4563858472177
"East Dunbartonshire",0,0,54,53,184,247.169811320755,NA
"Scottish Borders",174,147,127,141,174,23.4042553191489,0
"Orkney Islands",111,87,80,85,110,29.4117647058824,-0.225990144894539
"East Lothian",0,0,0,0,84,NA,NA
"Eilean Siar",35,30,38,37,36,-2.7027027027027,0.706757751117166
"Shetland Islands",15,4,29,72,27,-62.5,15.8292185288269
"Dumfries and Galloway",26,15,14,14,15,7.14285714285714,-12.847574599857
"Angus",3,6,6,6,6,0,18.9207115002721
"Aberdeen City",0,0,0,0,0,NA,NA
"Clackmannanshire",15,14,15,14,0,-100,-100
"Midlothian",0,0,0,0,0,NA,NA
"North Lanarkshire",0,0,0,0,0,NA,NA
"West Dunbartonshire",0,0,0,0,0,NA,NA
"West Lothian",0,0,0,0,0,NA,NA
"Total",61622,64141,66650,69322,74537,7.52286431435907,4.87187428811868
