"auth.name","2013","2014","2015","2016","2017","change","change.4","prop.income"
"Westminster",29589,27875,20533.07455,15009.242325,31246.59359,108.182351336646,1.3720193322081,35.1761221767885
"Ealing",14215,14101,16970,19200,17703,-7.796875,5.63917511002736,72.2158766419189
"Camden",13925,13615,12865,13224.30207,16770,26.8119853224133,4.75734058110375,46.1106986719459
"Hammersmith & Fulham",11775,12567,12932,12344,12915,4.62572909915748,2.33716310006586,35.1600784057498
"Islington",15331,13710,14142,13465,12353,-8.25844782770145,-5.25626763953281,37.5848115130678
"Kensington & Chelsea",13572,12628,11887,12531,12269,-2.09081477934721,-2.49175746902248,26.2517117425539
"Hackney",10399,9801,10428,12329,11997,-2.69283802417065,3.63829752051754,43.45164795364
"Haringey",10597,9689,10455,11269.3456207435,10683.8735078249,-5.19526272972765,0.204321291621534,38.8156016296307
"Barnet",4710,14239,5289,8592,9732.33223768757,13.2720232505537,19.8944293000722,47.6558528422007
"City of London",5886,5240,5616,5426,9671,78.2344268337634,13.2172968040575,40.2053712480253
"Waltham Forest",7424,6789,8800,8626,9562,10.8509158358451,6.53141462605502,58.2906608144355
"Lambeth",17461,15865,17607,14696,9263.71385,-36.9643858873163,-14.6548188013711,43.2756909702556
"Brent",5436,7311,10552.52004,9760,9228,-5.45081967213115,14.1450373245271,43.738743008816
"Brighton & Hove",7716,8497,8594,9122,9140,0.197325147993865,4.32502421551693,28.0712530712531
"Newcastle upon Tyne",7971,7311,7826,9479,8898,-6.12933853782044,2.78858748985471,51.0235678651299
"Bristol",5845,7444,8764,7679,8855,15.3144940747493,10.9432828118384,48.235101862948
"Colchester",8951,8116,8033,8180,8763,7.12713936430318,-0.529268060243493,79.2386291708111
"Tower Hamlets",7758,7938,8313.08413,9039,8660.52631,-4.18711903971679,2.7894701803244,44.9866054341082
"Birmingham",10540,9477,8501,9108,8550,-6.12648221343873,-5.0966864772352,43.3284346019358
"Southwark",6364,6517,7010,7836,8322,6.20214395099541,6.93611082213537,54.7032143561428
"Liverpool",6766,6086,6118,6231,7730,24.0571336864067,3.38603387538761,65.8040350727845
"Wandsworth",9898,9883,9233,9557,7707,-19.3575389766663,-6.06347778645598,24.1424678131755
"Norwich",3541,3855,6242,7087,7660,8.08522647100325,21.2762363458047,72.8899038919022
"Manchester",6752,8151,6566,6714,7564,12.6601131963062,2.8797195365827,44.6728088825892
"Enfield",6888,7573,6727,4592.8287151219,7120.843587,55.0426551627019,0.834599337598907,105.147568455214
"Havering",3222,3907,3943,5015,6640,32.4027916251246,19.8148465346901,58.1843673326323
"Croydon",8727,9118,7968,7055.99136,6442.59711,-8.69323981145011,-7.30656009459133,45.5587330341332
"Newham",8796,8248,8682,9158.3,6329,-30.8932880556435,-7.89939803224916,25.0098790800601
"Merton",4383,4738,5083.616,5712,6137,7.44047619047619,8.77927579802131,33.3242832319722
"Cornwall",6253,6174,5936,6195,6130,-1.04923325262308,-0.49543362487412,38.6166057704422
"Nottingham",6837,6390,7327,5041,6024,19.5000991866693,-3.11537874917143,29.302461328923
"North Yorkshire",987,988,3587,5328,6001,12.6313813813814,57.0278261671384,107.19899964273
"Buckinghamshire",1871,1882,1628,2442,5990,145.290745290745,33.7636955536772,139.62703962704
"Cheshire West and Chester",4630,4759,5403,5288.73383283854,5735,8.43805306272982,5.49651367219246,89.7074925699984
"Richmond upon Thames",4917,5079,4984,5242,5700,8.73712323540634,3.76327290998608,36.7386400257815
"Bournemouth",5259,5047,5253,5045,5671,12.408325074331,1.90350433660853,43.6432199476682
"Portsmouth",4460,4452,4813,4650,5157,10.9032258064516,3.69685099113914,49.5246326707001
"Guildford",4581,4903,4786,4759,5084,6.8291657911326,2.63874013112437,40.9109197714654
"Leeds",5722,5539,4563,4791,5042,5.23898977249009,-3.11339301621576,37.439667334967
"Greenwich",7011,6443,3040,5496,4994,-9.13391557496361,-8.13139056935839,59.3393536121673
"Surrey",4431,4878,4138,5110,4979,-2.56360078277886,2.95799915255133,104.688814129521
"Harrow",3599,3909,4167.205811,4786.9181912,4938.344336,3.16333262344808,8.23055376005846,41.2017504587751
"Hillingdon",8162,5428,5439,4873,4844.68328,-0.581094192489218,-12.2257352996876,66.9713329330752
"Canterbury",4299,4357,4087,4775,4766,-0.188481675392666,2.61164458516263,50.1314820658462
"Sheffield",4582,5522,4798.53772760665,4408.13368730389,4733,7.36970191334669,0.813885861408137,57.8111640405521
"Essex",4952,4241,4213,4398,4437,0.886766712141878,-2.7079849811952,103.813757604118
"Bath & North East Somerset",4291,3638,4115.57589725735,4271.30065642276,4391.74496467919,2.8198508591361,0.581856958734361,35.9506705693426
"Cambridge",3817,4173,4322,4184,4319,3.22657743785851,3.13718198750861,42.6104972375691
"Kingston upon Thames",4666,4430,5112,5144,4317,-16.0769828926905,-1.9247715206831,36.470389456788
"Redbridge",4502,5461,4825,4901,4180,-14.7112834115487,-1.83815834421838,35.8091321853851
"Oxford",3653,3354,3481,3575.42,4041.02,13.0222463374932,2.55582483671741,54.1698224241311
"Stoke-on-Trent",2797,3030,3410,3578,4029,12.6048071548351,9.5534857112149,87.4348958333333
"Cheshire East",3062,2950,3140,3571,3857,8.00896107532904,5.94027919139792,70.2934208128303
"Oxfordshire",3266,3436,3512,3469,3819,10.0893629287979,3.98803447651965,80.2310924369748
"Devon",1886,4401,4031,3527,3746,6.20924298270484,18.7152526627737,54.5586950189339
"Medway",3216,3063,2855,3339,3737,11.9197364480383,3.82495808252639,42.6793056190041
"Woking",3228,3328,3441,3472,3681,6.01958525345623,3.33752907985787,44.7374817695673
"East Sussex",3318,4697,3518,3467,3637,4.90337467551197,2.32146034976846,71.1463223787167
"Barking & Dagenham",3902,3883,4006,3254,3534,8.60479409956976,-2.44605872058695,51.8638098033461
"Bromley",4754,4990,5629,5097,3532,-30.7043358838532,-7.1588782044591,36.3075657894737
